Rank,Grade,Username,Uploads,Subscribers,Views,Category,Estimated Revenue ($)
80th,A,LUCCAS NETO - LUCCAS TOON,"2,905",46600000.0,26987792486.0,entertainment,80963377.458
81st,A,Ishtar Music,"4,693",46400000.0,20239785758.0,music,60719357.274000004
82nd,A,shfa2 - شفا,"1,809",46000000.0,28976829479.0,people,86930488.43699999
83rd,A,Saregama Music,"9,303",46000000.0,21842195297.0,music,65526585.890999995
84th,A-,MrBeast 2,116,45800000.0,7557174892.0,people,22671524.676
85th,A-,Alan Walker,619,45800000.0,14547535680.0,music,43642607.04
86th,A,Real fools shorts official,602,45700000.0,20882347521.0,people,62647042.56300001
87th,B+,Você Sabia?,"1,685",45700000.0,8100958927.0,entertainment,24302876.781
88th,B+,Kimberly Loaiza,314,45600000.0,6747342620.0,people,20242027.86
89th,B+,MrBeast Gaming,141,45300000.0,8187870123.0,games,24563610.369
90th,A,Katy Perry,165,45300000.0,27067800059.0,music,81203400.177
91st,A,ABP NEWS,"4,08,053",45100000.0,18409344309.0,news,55228032.927
92nd,A,shfa,"1,162",45000000.0,26449828756.0,people,79349486.268
93rd,A,Maria Clara & JP,850,44800000.0,29101344576.0,entertainment,87304033.728
94th,A-,Speed Records,"11,686",44800000.0,29680567396.0,music,89041702.18800001
95th,A,Dushyant kukreja,"1,270",44700000.0,27733467768.0,entertainment,83200403.30399999
96th,B+,whinderssonnunes,824,44700000.0,4557038440.0,comedy,13671115.32
97th,B+,BRIGHT SIDE,"8,585",44600000.0,11258531185.0,entertainment,33775593.555
98th,A,Sony PAL,"29,622",44200000.0,33940889706.0,entertainment,101822669.118
99th,B,HolaSoyGerman.,136,44000000.0,4904702015.0,entertainment,14714106.044999998
100th,A-,Like Nastya Show,741,43700000.0,20844550901.0,entertainment,62533652.703
101st,A,DaFuq!?Boom!,298,43700000.0,17557698078.0,entertainment,52673094.234000005
102nd,A,Rihanna,88,43600000.0,24831186572.0,music,74493559.716
103rd,A,Topper Guild,"1,033",43500000.0,20135988042.0,entertainment,60407964.126
104th,B+,Total Gaming,511,43400000.0,4507461673.0,games,13522385.019000001
105th,A,Goldmines Gaane Sune Ansune,"3,916",43400000.0,19782737589.0,music,59348212.767000005
106th,B+,CarryMinati,199,43200000.0,3923701186.0,comedy,11771103.558
107th,B+,Luisito Comunica,"1,377",43200000.0,9993402773.0,entertainment,29980208.319
108th,A,IndiaTV,"3,17,001",42900000.0,21342288484.0,news,64026865.45200001
109th,A,Shorts Break,662,42700000.0,30202611473.0,comedy,90607834.419
110th,A,Super Simple Songs - Kids Songs,805,42500000.0,52360216902.0,education,157080650.706
111th,A+,Alfredo Larin,"1,850",42500000.0,34864661805.0,entertainment,104593985.41499999
112th,A,PowerKids TV,"8,332",42500000.0,22639970686.0,film,67919912.058
113th,A,HUM TV,"1,52,790",42400000.0,36055466005.0,entertainment,108166398.01500002
114th,A,Zhong,"1,804",42400000.0,17624767338.0,entertainment,52874302.014
115th,A,Genevieve's Playhouse - Learning V…,648,42300000.0,32181834073.0,film,96545502.219
116th,A,Techno Gamerz,"1,059",42300000.0,12379707884.0,games,37139123.651999995
117th,A-,AboFlah,733,42300000.0,6341883825.0,entertainment,19025651.475
118th,A,T-Series Bollywood Classics,"2,080",42300000.0,28011477533.0,music,84034432.599
119th,B+,MR. INDIAN HACKER,"1,036",42100000.0,7319514365.0,tech,21958543.095
120th,A++,Anaya Kandhal,"1,596",41900000.0,39119812392.0,entertainment,117359437.176
121st,A,ISSEI / いっせい,"2,989",41800000.0,31736856605.0,entertainment,95210569.815
122nd,A-,TheDonato,"3,630",41700000.0,7824082563.0,games,23472247.689
123rd,A-,Ultra Bollywood,"9,633",41500000.0,16626417328.0,entertainment,49879251.984
124th,B+,TEDx Talks,"2,21,853",41500000.0,8015240383.0,nonprofit,24045721.149
125th,A,WorkpointOfficial,"89,338",41500000.0,39317245475.0,entertainment,117951736.42500001
126th,B+,YouTube,782,41500000.0,2755696282.0,entertainment,8267088.846000001
127th,A,ช่อง one31,"1,53,731",41200000.0,29422373838.0,entertainment,88267121.514
128th,A,GR6 EXPLODE,"3,242",41200000.0,28266710783.0,music,84800132.349
129th,A-,Vlad và Niki,627,41000000.0,26003697565.0,entertainment,78011092.69500001
130th,A,La Granja de Zenón,799,41000000.0,32494907551.0,music,97484722.653
131st,A,Little Baby Bum - Nursery Rhymes &…,"2,754",41000000.0,40917155923.0,education,122751467.769
132nd,A-,Like Nastya ESP,887,41000000.0,20471326003.0,entertainment,61413978.008999996
133rd,B-,XXXTENTACION,135,40800000.0,11183965941.0,music,33551897.823
134th,A-,Jingle Toons,261,40600000.0,13481200289.0,film,40443600.867
135th,B,elrubiusOMG,708,40400000.0,7512399863.0,games,22537199.589
136th,A,Akshay Nagwadiya,983,40100000.0,12725129751.0,entertainment,38175389.253
137th,A-,Frost Diamond,"3,495",39800000.0,9881616545.0,entertainment,29644849.634999998
138th,A,LankyBox,"12,281",39800000.0,45172763328.0,games,135518289.984
139th,A,Daddy Yankee,566,39200000.0,25122645349.0,music,75367936.04699999
140th,A,Zach King,693,38800000.0,16687583218.0,entertainment,50062749.654
141st,B-,One Direction,157,38700000.0,14482655398.0,music,43447966.194
142nd,A,Enaldinho,"4,508",38600000.0,17025112985.0,entertainment,51075338.955
143rd,A,BabyBus - Kids Songs and Cartoons,"2,524",38500000.0,29780770126.0,education,89342310.37799999
144th,A-,Bruno Mars,100,38400000.0,21667680930.0,music,65003042.79
145th,A-,Gulshan Kalra,714,38300000.0,17058399657.0,entertainment,51175198.971
146th,B+,TheEllenShow,"17,234",38300000.0,23302739218.0,entertainment,69908217.654
147th,A,Priyal Kukreja,"1,152",38200000.0,23458342938.0,people,70375028.81400001
148th,B+,Jkk Entertainment,240,38100000.0,17087950154.0,comedy,51263850.462
149th,B-,Jason Derulo,"2,492",38100000.0,20008104942.0,music,60024314.826000005
150th,A,Heroindori,697,38000000.0,13867983425.0,entertainment,41603950.275000006
151st,A-,Juan De Dios Pantoja,415,38000000.0,4698583361.0,people,14095750.082999999
152nd,A,Ryan's World,"2,999",37800000.0,58468937852.0,entertainment,175406813.556
153rd,A,KAROL G,161,37700000.0,25404568549.0,music,76213705.647
154th,A,WowKidz,"9,916",37700000.0,20553436891.0,entertainment,61660310.67299999
155th,A+,Dangal TV Channel,"34,318",37600000.0,25653590736.0,entertainment,76960772.208
156th,A,LeoNata Family,"3,638",37500000.0,39628862192.0,people,118886586.576
157th,A,Zee News,"1,88,163",37500000.0,23220597830.0,news,69661793.49
158th,A-,Junya.じゅんや,"8,759",37400000.0,22724450549.0,entertainment,68173351.647
159th,A-,T-Series Apna Punjab,"8,749",37300000.0,24340337408.0,music,73021012.224
160th,A,Maroon 5,185,37100000.0,24591928331.0,music,73775784.993
161st,A,Ozuna,245,37000000.0,25462192242.0,music,76386576.726
162nd,A-,Markiplier,"5,646",37000000.0,21840766434.0,games,65522299.302
163rd,A-,Hamster Kombat,214,37000000.0,1084091976.0,people,3252275.9280000003
164th,A-,Diana and Roma ESP,689,37000000.0,15320518609.0,entertainment,45961555.827
165th,A-,Rajshri,"4,630",37000000.0,17082613254.0,entertainment,51247839.762
166th,A,★ Kids Roma Show,729,37000000.0,15036344090.0,entertainment,45109032.269999996
167th,A,Peppa Pig - Official Channel,"7,467",36700000.0,26874887247.0,education,80624661.741
168th,A,Masha y el Oso,"1,528",36700000.0,18301596570.0,film,54904789.71
169th,A+,Celine Dept,972,36600000.0,21736826695.0,sports,65210480.085
170th,A-,CVS 3D Rhymes & Kids Songs,338,36600000.0,22378848407.0,education,67136545.221
171st,A,Galinha Pintadinha,66,36600000.0,33769558050.0,music,101308674.14999999
172nd,A++,GMA  Network,"1,55,922",36400000.0,29972613193.0,entertainment,89917839.579
173rd,A,Spider Slack,"1,338",36400000.0,20808325952.0,comedy,62424977.856
174th,A,unknown boy varun,780,36300000.0,15100265124.0,music,45300795.372
175th,A,tuzelity SHUFFLE,"1,112",36200000.0,15080087769.0,people,45240263.307
176th,A-,Lucas and Marcus,"1,916",36100000.0,15026553013.0,entertainment,45079659.039000005
178th,A,The Weeknd,180,36000000.0,28563846205.0,music,85691538.615
179th,A,Marta and Rustam,"1,229",35600000.0,29864755885.0,comedy,89594267.655
180th,A,DisneyMusicVEVO,"2,498",35500000.0,33163811435.0,music,99491434.30499999
181st,B+,Geet MP3,746,35500000.0,13932033103.0,music,41796099.309
182nd,A-,Worldwide Records Bhojpuri,"7,325",35400000.0,18546249207.0,music,55638747.62099999
183rd,A-,Ch3Thailand,"82,017",35400000.0,23377177336.0,entertainment,70131532.008
184th,A,Karla Bustillos,"1,237",35400000.0,9249899915.0,entertainment,27749699.744999997
185th,A,dednahype,"3,424",35100000.0,31087481610.0,comedy,93262444.83
186th,A+,MaviGadget,"5,344",34800000.0,30870808077.0,entertainment,92612424.231
187th,B-,Selena Gomez,193,34700000.0,14278746607.0,music,42836239.821
188th,B+,Beast Reacts,238,34600000.0,6306381180.0,entertainment,18919143.54
189th,A-,SSSniperWolf,"3,643",34600000.0,25432717633.0,entertainment,76298152.899
190th,B-,J Balvin,249,34500000.0,24487511238.0,music,73462533.714
191st,A-,mujjuu___14,"1,152",34300000.0,19356120721.0,people,58068362.163
192nd,A-,Willie Salim,"1,066",34300000.0,5924527958.0,people,17773583.873999998
193rd,A,Aditya Movies,"8,347",34300000.0,13475987757.0,film,40427963.271
194th,A-,Eros Now Music,"9,733",34300000.0,18079794854.0,entertainment,54239384.56199999
195th,B+,Round2hell,69,34300000.0,3518938586.0,entertainment,10556815.758000001
196th,A-,Ian Lucas,481,34100000.0,3790582574.0,people,11371747.722
197th,B+,VEGETTA777,"8,098",34100000.0,15881220550.0,games,47643661.650000006
198th,B+,Desi Music Factory,295,33900000.0,10730012809.0,music,32190038.427
199th,B+,KHANDESHI MOVIES,239,33900000.0,11802930911.0,comedy,35408792.733
200th,B+,Pokémon Asia Official (Hindi),351,33900000.0,1894009876.0,film,5682029.628
201st,A-,व्लाद और निक�…,644,33800000.0,19620924849.0,entertainment,58862774.547
202nd,B+,NoCopyrightSounds,"1,784",33800000.0,11311160066.0,music,33933480.198
203rd,B+,rezendeevil,"12,295",33800000.0,13627012083.0,entertainment,40881036.249
204th,B+,Mr Bean,"3,614",33700000.0,11382463670.0,comedy,34147391.01
205th,A-,Shemaroo Movies,"3,507",33700000.0,9243241642.0,film,27729724.926000003
206th,A,Tilak,"10,934",33400000.0,13428090137.0,film,40284270.411
207th,A,Sagawa /さがわ,"8,884",33299999.999999996,26551867471.0,entertainment,79655602.413
208th,A,That Little Puff,972,33299999.999999996,28159999841.0,animals,84479999.523
209th,A-,Brent Rivera,681,33000000.0,9083272088.0,entertainment,27249816.264
210th,B+,DONA 도나,175,33000000.0,22544887993.0,entertainment,67634663.979
211th,A,Aditya Music,"24,330",33000000.0,30960346056.0,music,92881038.16800001
212th,A-,NichLmao,"1,126",32900000.0,17693729590.0,people,53081188.769999996
213th,A+,Tsuriki Show,"4,297",32799999.999999996,40495265356.0,comedy,121485796.06799999
214th,A,Ishaan Ali 11,"1,388",32700000.000000004,19245717015.0,people,57737151.045
215th,A+,ToRung,367,32700000.000000004,20110385509.0,comedy,60331156.526999995
216th,A,infobells - Telugu,629,32700000.000000004,18070301293.0,education,54210903.87900001
217th,A-,Goldmines Dishoom,"4,955",32700000.000000004,9947816846.0,film,29843450.538000003
218th,A,Little Angel: Nursery Rhymes & Kid…,"1,612",32600000.0,24846816777.0,education,74540450.331
219th,A-,SMTOWN,"4,412",32600000.0,30111563018.0,music,90334689.05399999
220th,A-,BeatboxJCOP,"1,039",32400000.0,14666797493.0,entertainment,44000392.479
221st,A-,infobells - Tamil,679,32299999.999999996,20346587002.0,education,61039761.006
222nd,B+,Talking Tom,700,32100000.0,16493512888.0,film,49480538.664000005
223rd,A,Daniel LaBelle,349,32100000.0,18316440320.0,comedy,54949320.96
224th,B+,Dream,118,32000000.0,3174042450.0,games,9522127.350000001
225th,A-,Goldmines Bollywood,"4,977",32000000.0,10421297656.0,film,31263892.968
226th,A-,Chotanawab,"2,175",32000000.0,14906205596.0,entertainment,44718616.788
227th,A-,ImagineDragons,193,32000000.0,19287776263.0,music,57863328.789000005
228th,B-,Luis Fonsi,337,31900000.0,15945538161.0,entertainment,47836614.483
229th,B+,GENIAL,"8,636",31900000.0,7027473215.0,howto,21082419.645
230th,B+,The Tonight Show Starring Jimmy Fa…,"10,836",31900000.0,17894797688.0,comedy,53684393.064
231st,B+,قناة طيور الجنة | toy…,"3,363",31800000.0,29319252304.0,music,87957756.912
232nd,A,Mr DegrEE,"1,776",31700000.0,28033121883.0,people,84099365.649
233rd,B-,Indosiar,"6,697",31700000.0,5668505412.0,entertainment,17005516.235999998
234th,A-,Adele,15,31600000.0,16070996351.0,music,48212989.053
235th,A,Sujal Thakral,635,31500000.0,5730215737.0,comedy,17190647.211
236th,B+,AH,"4,354",31500000.0,5348915132.0,entertainment,16046745.396000002
237th,A-,Spinnin' Records,"12,442",31400000.0,21130511304.0,music,63391533.912
238th,A-,Azhan5star,933,31300000.0,12955191433.0,entertainment,38865574.299
239th,A-,JustinBieberVEVO,204,31300000.0,28133399282.0,music,84400197.846
240th,A,Kids Channel India - Hindi Rhymes …,"1,427",31200000.0,12833510061.0,education,38500530.183
241st,A,Yoeslan,"1,109",31200000.0,28138324991.0,entertainment,84414974.973
242nd,A,D Billions,"1,189",31200000.0,40427510336.0,entertainment,121282531.00800002
243rd,B+,Crazy XYZ,"1,381",31100000.0,9206284685.0,tech,27618854.055
244th,A+,Filmy Suraj Actor,374,31000000.0,15473011594.0,entertainment,46419034.782000005
245th,A-,Michael Jackson,18,31000000.0,16518239774.0,entertainment,49554719.322
246th,A,Nick Jr.,"5,514",31000000.0,24305939207.0,entertainment,72917817.62099999
247th,A-,Ultra Records,"5,161",31000000.0,17960656557.0,music,53881969.671000004
248th,A-,The Lallantop,"59,324",31000000.0,13400730284.0,news,40202190.852
249th,A,Ben Azelart,351,30900000.0,7404921467.0,entertainment,22214764.401
250th,B+,Boram Tube Vlog [보람튜브 브�…,239,30800000.0,13858756760.0,entertainment,41576270.28
251st,A,Bounce Patrol - Kids Songs,387,30700000.0,23557109349.0,music,70671328.04699999
252nd,B+,jacksepticeye,"5,206",30700000.0,16878154017.0,games,50634462.051
253rd,B+,ashish chanchlani vines,157,30400000.0,4817643529.0,comedy,14452930.587000001
254th,A-,Kids TV - Nursery Rhymes And Baby …,"4,153",30300000.0,15038745238.0,music,45116235.714
255th,B+,Trap Nation,"2,907",30300000.0,14558458733.0,music,43675376.199
256th,A-,Ami Rodriguez,660,30200000.0,5132156670.0,entertainment,15396470.01
257th,A-,Drake,64,30200000.0,18438856792.0,music,55316570.376
258th,A-,Shawn Mendes,154,30200000.0,13849809924.0,music,41549429.772
259th,A,Maluma,50,30100000.0,23620427011.0,music,70861281.03299999
260th,A-,IShowSpeed,"1,460",30000000.0,3009045659.0,games,9027136.977
261st,B+,YOLO,309,29800000.0,2246613272.0,comedy,6739839.816
262nd,A,Zach Choi ASMR,"1,445",29800000.0,10395037395.0,people,31185112.185
263rd,A-,JYP Entertainment,"2,183",29700000.0,23234985706.0,music,69704957.118
264th,A,Danny Fitt,"2,796",29600000.0,13768005591.0,entertainment,41304016.773
265th,A-,toycantando,830,29500000.0,18065125096.0,music,54195375.288
266th,A-,America's Got Talent,"2,162",29400000.0,4899725366.0,entertainment,14699176.098000001
267th,A,BigSchool,"5,350",29300000.0,12871414304.0,film,38614242.912
268th,B,AuronPlay,402,29100000.0,4161517808.0,comedy,12484553.424
270th,A+,The geeta gurjar,"1,987",29100000.0,24738545375.0,entertainment,74215636.125
271st,A,_vector_,566,29100000.0,20582896057.0,entertainment,61748688.171000004
272nd,A,Bayashi TV,"1,383",29000000.0,17362330680.0,entertainment,52086992.04
273rd,A-,ABPLIVE,"2,36,616",29000000.0,10004111306.0,news,30012333.917999998
274th,A,Neetu Bisht,"2,560",28900000.0,21799859115.0,people,65399577.345
275th,A-,Netflix,"7,555",28900000.0,8795031544.0,entertainment,26385094.632
276th,B+,DanTDM,"3,726",28900000.0,19972070408.0,games,59916211.224
277th,B+,Renato Garcia YT,"4,551",28800000.0,8986758195.0,entertainment,26960274.585
278th,A,BEN EAGLE,"5,117",28700000.0,14679377387.0,people,44038132.161
279th,A-,Alan Becker,210,28700000.0,7347839773.0,film,22043519.319
280th,B-,Wiz Khalifa,753,28700000.0,14415039866.0,music,43245119.598000005
281st,A,Sourav Joshi Vlogs,"1,801",28500000.0,13829647543.0,people,41488942.629
282nd,B,Sandeep Maheshwari,635,28500000.0,2419831983.0,people,7259495.949
283rd,A-,Diana and Roma ARA,701,28400000.0,12989636464.0,entertainment,38968909.392
284th,A,Caín Guzmán,"4,053",28400000.0,14890509131.0,comedy,44671527.393
285th,A-,Raffy Tulfo in Action,"11,595",28400000.0,16708713272.0,news,50126139.816
286th,A,Sun TV,"1,01,870",28300000.0,30650465292.0,entertainment,91951395.876
287th,B+,The Late Late Show with James Cord…,"5,788",28300000.0,10184985277.0,entertainment,30554955.831
288th,A-,WB Kids,"2,349",28200000.0,12948471069.0,film,38845413.207
289th,A,News18 India,"2,85,908",28100000.0,13926098519.0,news,41778295.557
290th,A,shfa show India,580,28000000.0,18821992154.0,people,56465976.462
291st,A,Kidibli (Kinder Spielzeug Kanal),"1,208",28000000.0,14451717459.0,entertainment,43355152.377000004
292nd,B+,Pen Movies,"1,767",27900000.0,8355771990.0,film,25067315.97
293rd,A,Bobby chourasiya,572,27800000.0,14328735227.0,people,42986205.681
294th,A,Vania Mania Kids,"1,304",27800000.0,13767407649.0,education,41302222.947
295th,B+,Diana and Roma HIN,690,27700000.0,12740059751.0,entertainment,38220179.253
296th,A-,Vlad and Niki IDN,609,27700000.0,13099032474.0,entertainment,39297097.422
297th,B+,ZHC,308,27700000.0,3397482851.0,entertainment,10192448.553
298th,A-,Ultra Movie Parlour,"2,049",27700000.0,5795091778.0,film,17385275.334
299th,A-,Preston,"4,153",27600000.0,10454730772.0,entertainment,31364192.316
300th,B+,enchufetv,"2,153",27500000.0,10809009726.0,comedy,32427029.178
301st,A-,Post Malone,135,27500000.0,16977507970.0,music,50932523.91
302nd,A-,Rafa & Luiz,"3,719",27400000.0,9887801829.0,entertainment,29663405.487
303rd,A-,Beyoncé,254,27400000.0,19336006860.0,music,58008020.58
304th,B+,Dan Rhodes,"1,670",27200000.0,19061148067.0,entertainment,57183444.201000005
305th,B+,Goldmines Movies,"5,825",27200000.0,6699452684.0,film,20098358.052
306th,B+,ToyPuddingTV,"2,416",27200000.0,16290065255.0,entertainment,48870195.765
307th,B-,Nicki Minaj,72,27100000.0,11484560110.0,music,34453680.33
308th,A-,Anuel AA,164,27100000.0,18089464388.0,music,54268393.164000005
309th,B+,Diana and Roma EN,621,27100000.0,9110746243.0,entertainment,27332238.729000002
310th,A-,Chris Brown,58,27100000.0,17916712146.0,music,53750136.43800001
311th,A+,ViralHog,"48,694",27000000.0,32790101294.0,animals,98370303.882
312th,A-,Peppa Pig Español Latino - Canal …,"1,684",27000000.0,9632452310.0,film,28897356.93
313th,B+,WORLDSTARHIPHOP,"7,162",27000000.0,21263638567.0,music,63790915.701000005
314th,B+,Like Nastya AE,782,26800000.0,13628494595.0,entertainment,40885483.785000004
315th,A-,David Guetta,885,26800000.0,19886396813.0,music,59659190.439
316th,A,Chapitosiki,"4,128",26800000.0,25877534556.0,entertainment,77632603.66800001
317th,A-,Vlad and Niki ESP,628,26800000.0,11036509493.0,entertainment,33109528.479000002
318th,A-,Coldplay,463,26700000.0,19653750440.0,music,58961251.32000001
319th,B+,Smosh,"1,900",26700000.0,10885040532.0,comedy,32655121.596
320th,A-,Bispo Bruno Leonardo,"6,625",26600000.0,6145438994.0,nonprofit,18436316.982
321st,A-,Marília Mendonça,200,26600000.0,20116832507.0,music,60350497.521
322nd,A-,LIV Crime,"16,360",26600000.0,14045735105.0,people,42137205.315
323rd,B+,Maya and Mary,562,26500000.0,7462428810.0,entertainment,22387286.43
324th,A-,Soy Suco,841,26500000.0,4862896652.0,games,14588689.956
325th,A,Aja Kitchen,"2,112",26500000.0,16391267037.0,entertainment,49173801.111
326th,A-,jaanvi patel,677,26500000.0,11687971482.0,people,35063914.446
327th,B-,TRANS7 OFFICIAL,"98,465",26500000.0,14842402137.0,entertainment,44527206.411
328th,A-,invictor,"2,673",26500000.0,9878860338.0,games,29636581.014
329th,B+,LosPolinesios,"1,101",26500000.0,8070403629.0,people,24211210.887
330th,A-,FaZe Rug,"2,348",26500000.0,9064880309.0,entertainment,27194640.927
331st,A,SMOL,"5,843",26400000.0,26568597205.0,entertainment,79705791.615
332nd,B+,BB Ki Vines,193,26400000.0,5015042292.0,entertainment,15045126.876000002
333rd,A,Mariano Razo,857,26300000.0,13861771320.0,people,41585313.96
334th,B+,1MILLION Dance Studio,"7,764",26300000.0,8309491320.0,entertainment,24928473.96
335th,A,Filaretiki,"3,781",26200000.0,26461144335.0,people,79383433.005
336th,B+,Beast Philanthropy,47,26200000.0,928950977.0,people,2786852.931
337th,A-,The Royalty Family,791,26200000.0,8660958089.0,people,25982874.266999997
338th,A-,Pawan Sahu,"1,979",26200000.0,11627959141.0,people,34883877.423
339th,B+,Rans Entertainment,"4,375",26200000.0,6876980265.0,entertainment,20630940.794999998
340th,A,Koray Zeynep,"3,795",26100000.0,25246918002.0,people,75740754.006
